Name;First decile;Second decile;Third decile;Fourth decile;Fifth decile;Sixth decile;Seventh decile;Eighth decile;Ninth decile;Mu;Sigma
Belgium;15.013;18.278;21.323;24.591;27.314;30.478;33.441;37.812;44.809;3.282.889.354.203.080;0.3317059966157858
Bulgaria;2.248;3.035;3.730;4.494;5.378;6.400;7.657;9.313;12.491;16.744.509.147.587.000;0.5185958934726688
Czechia;7.235;8.718;9.852;10.985;12.146;13.404;15.132;17.213;21.009;25.031.673.337.496.200;0.3182901736349292
Denmark;18.548;23.059;26.261;29.895;33.260;37.066;41.092;46.949;56.288;34.929.562.908.589.900;0.3322213415727941
Germany;13.232;16.680;19.461;22.096;25.000;28.298;32.178;37.471;46.764;32.180.320.573.622.000;0.3773501949775627
Estonia;6.586;8.312;10.394;12.463;14.827;17.179;20.056;23.776;30.663;2.666.337.633.918.680;0.4720597236240743
Ireland;15.791;19.500;22.467;25.760;29.060;33.241;36.567;41.818;51.104;3.358.911.959.706.890;0.3547961798815187
Greece;4.453;5.900;7.080;8.247;9.520;10.787;12.383;14.502;18.100;2.228.212.601.162.080;0.4194621160109724
Spain;7.207;9.957;12.303;14.575;16.814;19.477;22.456;26.619;33.425;27.951.569.809.102.800;0.45851072006755217
France;11.898;15.140;18.025;20.490;23.053;25.789;29.080;33.723;41.995;31.243.258.314.252.800;0.37386516981858237
Croatia;4.061;5.546;6.635;7.712;8.760;9.938;11.260;12.974;15.633;21.388.657.956.906.800;0.4018315909786413
Italy;8.213;11.135;13.613;15.981;18.592;21.182;24.229;28.317;35.695;28.866.826.291.647.000;0.4382155280859681
Cyprus;9.772;11.723;13.541;15.574;17.856;20.142;22.965;26.601;33.094;28.768.686.391.087.600;0.3730982920128458
Latvia;4.338;5.781;7.313;8.777;10.258;11.949;14.053;16.722;21.353;23.014.707.979.011.900;0.4831272930471848
Lithuania;4.646;6.027;7.350;8.653;10.195;11.705;13.931;16.739;22.542;2.314.890.449.259.130;0.4736938942789479
Luxembourg;22.973;28.646;33.276;39.111;45.310;50.533;58.612;66.500;82.867;37.869.006.961.881.800;0.39043387733729257
Hungary;4.035;4.959;5.520;6.207;6.975;7.668;8.688;9.870;12.133;19.396.695.266.163.200;0.3280259627246781
Malta;9.501;11.723;13.739;15.826;18.155;20.485;23.429;28.028;35.004;28.951.246.977.527.300;0.39528345998643477
Netherlands;15.910;19.574;22.684;26.272;29.537;32.743;36.114;40.671;48.922;3.354.229.952.989.410;0.33904327987880367
Austria;14.320;18.740;21.894;24.859;27.844;31.104;35.061;39.843;48.145;33.079.952.533.354.700;0.3590308183452802
Poland;4.819;6.157;7.182;8.067;8.946;10.013;11.192;12.927;15.784;21.864.578.391.630.600;0.3498883231392721
Portugal;5.503;7.191;8.531;9.744;11.014;12.496;14.263;17.164;22.854;2.405.851.868.936.080;0.41573425284449034
Romania;2.154;3.168;4.064;4.768;5.512;6.427;7.315;8.655;10.510;1.661.372.055.646.130;0.4724177619263816
Slovenia;9.381;11.704;13.410;15.057;16.544;18.165;20.163;22.606;26.569;27.904.211.792.834.600;0.3095136893161541
Slovakia;4.872;6.351;7.272;8.117;8.819;9.665;10.555;11.787;13.269;21.516.173.101.720.000;0.29626442138144443
Finland;15.219;18.024;20.792;23.549;26.541;29.270;32.723;37.699;45.344;32.661.271.043.661.500;0.3324947261117781
Sweden;13.620;17.290;20.559;23.896;26.692;30.196;33.887;38.369;45.797;3.260.583.414.624.080;0.36694967095094383
